locality	type_core	lat_N	lon_E	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
Banshan_China	loess	34.68	105.70	0.00	11.70	2.32E+02	2.03E+02	6.02E+01	5.43E+01
Chunhua_China	loess	34.80	108.55	0.21	6.27	1.38E+02	1.48E+02	3.03E+01	3.32E+01
Yaoxian-I_China	loess	34.88	108.97	1.38	11.90	1.24E+02	4.61E+01	3.26E+01	1.56E+01
Yaoxian-II-YX_China	loess	34.88	108.75	0.81	8.44	4.66E+02	2.01E+02	1.16E+02	6.12E+01
Yinwan_China	loess	34.93	104.17	8.16	11.45	6.50E+02	2.84E+02	1.82E+02	8.75E+01
Dadiwan_China	loess	35.00	105.92	3.68	8.48	1.02E+03	4.35E+02	2.35E+02	1.11E+02
Lingtai_China	loess	35.07	107.65	0.00	12.00	6.16E+01	3.75E+01	1.54E+01	1.32E+01
Xunyi_China	loess	35.13	108.33	0.00	6.27	1.66E+02	1.73E+02	3.64E+01	3.88E+01
Changwu_China	loess	35.20	107.82	0.00	11.70	2.50E+02	2.20E+02	5.50E+01	4.96E+01
Jingchuan_China	loess	35.25	107.72	1.50	7.50	1.09E+02	4.13E+01	2.73E+01	1.94E+01
V32-126_Pacific-Ocean	marine	35.30	174.90	3.30	7.30	2.66E+00	1.33E+00	2.66E+00	2.08E+00
Xinghai_China	loess	35.30	99.49	0.70	13.20	2.14E+02	9.24E+01	4.23E+01	2.23E+01
Tongde_China	loess	35.47	100.07	4.20	13.80	2.51E+02	1.10E+02	4.45E+01	2.37E+01
Ningxian_China	loess	35.48	107.97	0.00	7.81	1.31E+02	1.15E+02	2.88E+01	2.60E+01
Xifeng-II_China	loess	35.54	107.72	1.14	5.98	1.63E+02	6.57E+02	3.42E+01	1.38E+02
Baxie-Dongxiang_China	loess	35.58	103.57	6.60	11.37	1.20E+03	5.17E+02	2.75E+02	1.31E+02
Beiyuan_China	loess	35.62	103.20	0.21	7.81	9.20E+01	1.10E+02	2.11E+01	2.56E+01
Huanglong_China	loess	35.62	109.78	0.21	6.27	6.04E+01	8.90E+01	1.33E+01	1.97E+01
Yuanpu-Yuanbo-Xinzhuangyuan_China	loess	35.63	103.17	0.06	7.36	1.28E+02	4.07E+01	2.94E+01	1.11E+01
Yuanbao_China	loess	35.65	103.15	0.44	9.80	1.54E+02	6.66E+01	3.86E+01	2.85E+01
