locality	type_core	lat	lon	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
KL23_Red-Sea	marine	25.75	35.06	19.30	19.30	2.90E+00	1.28E+00	1.45E+00	1.08E+00
12JPC_Atlantic-Ocean	marine	29.75	-72.90	19.40	19.90	2.87E+01	1.26E+01	2.87E+01	2.13E+01
OC437-07-GC27_Atlantic-Ocean	marine	30.88	-10.63	19.04	19.96	4.74E+00	2.12E+00	1.16E+00	6.23E-01
Ramat-Beka_Israel	loess	31.14	34.95	20.30	23.90	1.87E+02	1.02E+02	5.31E+01	3.91E+01
Natchez_USA	loess	31.58	-91.90	21.05	23.74	4.53E+03	2.64E+03	1.36E+03	8.38E+02
M45/5-KL90_Atlantic-Ocean	marine	31.61	-28.02	20.00	20.00	2.61E+00	1.15E+00	1.95E+00	1.45E+00
Vicksburg_USA	loess	32.38	-90.67	22.77	25.44	3.20E+03	8.25E+02	8.95E+02	2.92E+02
Shankerpora_India	loess	33.62	75.17	19.00	26.50	1.15E+02	6.00E+01	2.88E+01	2.29E+01
Zhouqu_China	loess	33.78	104.40	19.00	26.50	7.90E+02	2.81E+02	2.19E+02	1.35E+02
Liujiapo-1/Duanjiapo-Lantian-2_China	loess	34.20	109.20	19.61	26.31	9.07E+01	4.50E+01	2.54E+01	1.36E+01
Weinan_China	loess	34.43	109.58	19.00	26.50	1.61E+02	6.56E+01	4.52E+01	2.28E+01
West-Helena_USA	loess	34.63	-90.63	21.22	28.30	3.20E+03	4.08E+03	8.96E+02	1.17E+03
Yaoxian-I_China	loess	34.88	108.97	20.20	27.70	7.81E+01	4.04E+01	1.72E+01	1.03E+01
Xunyi_China	loess	35.13	108.33	22.00	26.50	3.68E+02	3.00E+02	8.09E+01	6.80E+01
V32-126_Pacific-Ocean	marine	35.30	174.90	19.00	23.00	3.41E+00	1.56E+00	3.41E+00	2.57E+00
Xifeng-II_China	loess	35.54	107.72	19.14	28.32	1.41E+02	5.55E+01	3.10E+01	1.53E+01
Yuanpu-Yuanbo_China	loess	35.63	103.17	17.85	24.46	2.24E+03	3.02E+03	5.14E+02	7.03E+02
Yuanbao_China	loess	35.65	103.15	19.00	26.50	1.41E+03	7.46E+02	3.53E+02	2.82E+02
Xifeng_China	loess	35.70	107.70	21.80	27.10	3.20E+02	2.33E+02	7.04E+01	5.32E+01
Heimugou-1/Luochuan_China	loess	35.75	109.42	18.16	24.68	2.83E+02	1.34E+02	6.64E+01	3.21E+01
Gaolanshan_China	loess	36.00	103.83	17.31	25.42	1.54E+03	1.74E+03	3.55E+02	4.06E+02
Beiyuantou_China	loess	36.05	107.50	17.31	25.42	6.68E+02	7.54E+02	1.20E+02	1.38E+02
Majiayuan_China	loess	36.27	107.50	17.85	27.95	5.13E+02	4.69E+02	9.24E+01	8.89E+01
Jingyuan_China	loess	36.35	104.60	21.50	26.20	1.28E+03	7.11E+02	4.24E+02	2.68E+02
Jingyuan-II_China	loess	36.35	104.62	19.00	26.50	1.16E+03	5.57E+02	3.84E+02	2.40E+02
Beiguoyuan_China	loess	36.37	107.16	19.70	26.00	1.39E+03	8.25E+02	3.05E+02	2.03E+02
V32-128_Pacific-Ocean	marine	36.50	177.20	19.00	23.00	2.71E+00	1.19E+00	2.71E+00	2.01E+00
Zhongjiacai_China	loess	36.50	105.00	19.00	26.50	7.05E+02	3.40E+02	2.45E+02	1.39E+02
Neka_Iran	loess	36.66	53.40	20.50	27.30	7.01E+02	4.22E+02	2.52E+02	1.70E+02
Shaozhuang_China	loess	36.72	118.23	19.00	26.50	9.37E+01	4.84E+01	2.68E+01	1.93E+01
Toshan_Iran	loess	36.82	54.42	22.40	26.50	1.12E+03	8.45E+02	2.81E+02	2.70E+02
Xueyuan_China	loess	36.92	106.97	19.80	25.00	8.44E+02	1.42E+03	1.10E+02	1.86E+02
Kalat-e-Naderi-a_Iran	loess	37.00	59.73	22.40	25.90	1.12E+03	8.87E+02	2.95E+02	2.51E+02
Now-Deh_Iran	loess	37.10	54.22	17.90	22.70	6.52E+02	4.52E+02	2.53E+02	1.92E+02
Gulang_China	loess	37.49	102.88	19.00	26.50	6.54E+02	2.99E+02	1.63E+02	1.23E+02
V21-146_Pacific-Ocean	marine	37.68	163.03	19.00	24.00	7.20E+00	3.21E+00	7.17E+00	4.30E+00
XZP_China	loess	37.79	120.67	19.00	26.50	8.96E+01	4.76E+01	2.32E+01	1.55E+01
Lingezhuang_China	loess	37.80	120.69	19.00	26.50	1.05E+02	5.55E+01	2.16E+01	1.31E+01
Caijiagou_China	loess	38.12	109.83	17.00	27.00	1.32E+02	6.34E+01	3.03E+01	1.72E+01
Hoalin_Tajikistan	loess	38.36	69.94	19.00	26.50	5.18E+02	3.34E+02	2.42E+02	1.97E+02
Darai-Kalon_Tajikistan	loess	38.53	70.10	21.18	26.10	1.44E+03	7.44E+02	6.70E+02	4.38E+02
Canteen-Creek_USA	loess	38.64	-90.02	19.11	28.30	1.70E+03	1.74E+03	4.76E+02	4.96E+02
